,home_value_median,median_ppsf,median_list_price,median_list_ppsf,median_sale_price
1077,488400.0,244.325099138693,499900.0,255.446908000449,490000.0
1078,534700.0,253.897550111359,534940.0,265.01067411001,565000.0
1083,279500.0,158.044572696315,309000.0,165.48903598253,317000.0
1084,312700.0,164.872139973082,327000.0,172.916666666667,335000.0
1085,329600.0,175.846322941647,349000.0,185.483870967742,364500.0
1086,352700.0,190.010857763301,370000.0,198.911411411411,375000.0
1087,364900.0,199.369795351031,377873.0,205.686371957743,390000.0
1088,384400.0,205.838120326912,399000.0,210.854952339103,460000.0
1093,273800.0,156.892809261348,262000.0,164.097073518915,285000.0
1094,301200.0,175.828754578755,285000.0,179.574184963407,300000.0
1095,326800.0,191.870391334945,305000.0,195.912162162162,333000.0
1096,353400.0,211.343073059413,329000.0,215.810968494749,352000.0
1097,376800.0,220.0,343950.0,221.447862097987,375000.0
1098,390200.0,234.47401774398,371250.0,234.04626015919,430000.0
1113,261600.0,166.966426858513,260000.0,168.377412731006,280000.0
1114,281300.0,181.845974971698,289444.0,182.821718039797,300000.0
1115,302600.0,189.725627553999,299000.0,192.193968066233,322500.0
1116,326600.0,203.252032520325,325000.0,206.060606060606,335000.0
1117,353400.0,205.902350813743,339000.0,216.579861111111,360000.0
1118,369900.0,220.738970782016,359900.0,226.975696188403,415000.0
1123,457300.0,280.898876404494,430000.0,284.866884633349,470000.0
1124,485900.0,303.959131545338,478000.0,306.845531608287,505000.0
1125,527600.0,318.695920193052,515000.0,331.546275395034,545000.0
1126,563800.0,343.015408081313,549000.0,356.632653061224,565000.0
1127,606200.0,349.419243346032,564995.0,369.172828671058,581000.0
1128,619300.0,371.185237757275,589000.0,383.888067061144,660000.0
1133,846800.0,762.371362450145,968000.0,704.520215165712,1152500.0
1134,941400.0,862.542955326461,1029000.0,795.048036069044,1180500.0
1135,1024000.0,875.0,1160000.0,873.75,1300000.0
1136,1104100.0,971.327112992176,1168000.0,933.333333333333,1355500.0
1137,1195700.0,951.693548387097,1024444.0,874.995116352893,1330000.0
1138,1217500.0,954.301075268817,1300000.0,1013.33333333333,1339000.0
1143,250800.0,148.883374689826,234900.0,142.175066312997,277000.0
1144,278400.0,161.56462585034,281250.0,165.944823452798,319000.0
1145,316000.0,182.222222222222,309975.0,180.45893060915,336703.5
1146,349200.0,197.142857142857,350000.0,207.579069767442,356000.0
1147,366000.0,208.456316410862,364950.0,214.928085310548,385000.0
1148,385600.0,218.890356299085,385000.0,217.789113490907,430000.0
1153,459900.0,285.889570552147,505000.0,298.796535822742,519000.0
1154,508200.0,299.659834372836,529450.0,334.429319679109,539000.0
1155,547200.0,318.559556786704,539000.0,329.631805983322,575000.0
1156,574400.0,328.125,587750.0,342.786949268755,615000.0
1157,593100.0,359.429526114511,629000.0,369.199178644764,611000.0
1158,637000.0,361.650485436893,604900.0,358.486697916339,687500.0
1163,836300.0,609.243697478992,790000.0,570.47619047619,973000.0
1164,917600.0,689.390756302521,925000.0,644.230769230769,1100000.0
1165,1002400.0,737.764723490234,922400.0,702.192465753425,1360000.0
1166,1087100.0,839.314226303198,1097500.0,769.239466821211,1325000.0
1167,1209000.0,820.3125,1188000.0,835.341365461847,1292000.0
1168,1233600.0,848.770726129217,1280000.0,850.649350649351,1350000.0
1173,476400.0,279.687583293235,457000.0,274.916666666667,525000.0
1174,547600.0,259.391771019678,599500.0,281.755158041325,526000.0
1175,531200.0,300.685897871762,439000.0,279.592702588036,530250.0
1176,567600.0,288.195803745311,452375.0,262.685531394571,599000.0
1177,629400.0,380.998455174588,592950.0,329.469420174742,652500.0
1178,593800.0,330.870279146141,600000.0,314.450539390154,767500.0
1183,746500.0,466.463414634146,749000.0,488.807444852941,833500.0
1184,836800.0,533.287639936029,810000.0,514.008004574042,863000.0
1185,925700.0,568.513119533528,846500.0,549.741569492594,1155000.0
1186,971300.0,688.976377952756,980500.0,633.967391304348,1065000.0
1187,1110600.0,680.199581236651,999950.0,655.88309689137,1099000.0
1188,1135300.0,684.717208182912,1050000.0,674.418604651163,1220000.0
1193,615200.0,396.07339593756,600000.0,408.455181182454,658000.0
1194,668300.0,421.642426808713,639000.0,440.414507772021,712250.0
1195,712800.0,449.670096409227,735000.0,499.524930669648,761250.0
1196,775000.0,486.898232784887,785000.0,481.596147230822,807500.0
1197,815100.0,487.776239679636,799000.0,508.603367173891,839000.0
1198,839500.0,518.487407989414,727500.0,527.990598349539,920000.0
1203,304100.0,191.911063184985,324975.0,192.585783022068,345000.0
1204,344900.0,208.029197080292,349997.0,208.128538367222,400000.0
1205,377900.0,224.751897256276,367750.0,235.428271374655,405000.0
1206,411700.0,247.673782156541,409999.0,260.409315455187,422500.0
1207,442700.0,261.075949367089,425000.0,265.980127654666,449000.0
1208,460500.0,265.249020705092,439900.0,259.051186017478,495000.0
1213,469400.0,306.530936498849,463500.0,309.96780996781,525000.0
1214,512100.0,318.20960577638,525000.0,335.114503816794,560000.0
1215,565200.0,346.21679895607,539000.0,354.912272414752,649952.5
1216,628400.0,393.629951980792,644500.0,394.168160489271,610000.0
1217,655200.0,383.304297328688,599000.0,396.780303030303,615500.0
1218,664600.0,379.046921119532,629000.0,385.23094255863,690000.0
1222,216000.0,136.532220676866,230000.0,148.95057549086,249500.0
1223,243500.0,152.990264255911,250000.0,155.077574047955,270000.0
1224,274300.0,168.123643153955,275000.0,166.40866873065,297000.0
1225,288200.0,179.036458333333,289900.0,192.012288786482,305000.0
1226,318900.0,193.090122474246,309450.0,200.437892484019,330000.0
1227,335400.0,206.980519480519,335000.0,211.267605633803,375000.0
1232,202000.0,116.797791476385,109920.0,88.0769230769231,200000.0
1233,230200.0,138.978033141569,355475.0,142.14087661529152,263000.0
1234,254200.0,153.631284916201,353675.0,194.602268093773,255000.0
1235,278300.0,164.198325820992,258725.0,222.8484730289175,307500.0
1236,314500.0,161.525746127215,286649.5,140.92600585001452,337500.0
1237,311200.0,183.490021858808,297450.0,166.448859027103,382500.0
1242,483100.0,277.777777777778,479000.0,291.418814500498,510000.0
1243,528700.0,308.577405857741,499475.0,306.122448979592,534000.0
1244,561400.0,315.075536125411,534900.0,315.63245823389,582625.0
1245,592500.0,338.028169014084,569000.0,344.844465253781,600000.0
1246,614400.0,343.499937458306,579000.0,349.875930521092,602250.0
1247,629600.0,350.883303271676,622450.0,373.915401301518,681000.0
1252,349000.0,182.945933194942,339450.0,184.25306928215,354750.0
1253,366100.0,200.329812088592,345000.0,216.626831358572,398000.0
1254,408500.0,225.825433148088,404450.0,246.286465036465,420000.0
1255,430400.0,250.62656641604,432450.0,257.401759877798,424000.0
1256,461800.0,250.62656641604,399450.0,247.220414662864,438000.0
1257,469300.0,268.0,430000.0,269.682737608104,505000.0
1262,169700.0,119.909749547186,110000.0,112.820512820513,261000.0
1263,206800.0,138.977635782748,263075.0,150.7625417949339,235500.0
1264,253800.0,145.699635404149,229990.0,164.278571428571,253500.0
1265,253000.0,161.290322580645,362500.0,164.511266855564,285000.0
1266,273600.0,163.157894736842,314900.0,192.599388379205,301900.0
1267,287600.0,204.617834394904,325112.5,183.621304799683,374500.0
1272,200600.0,112.935431711575,229900.0,114.977973568282,263500.0
1273,240300.0,129.411764705882,269000.0,127.24168032222,300000.0
1274,275100.0,144.676575061816,309900.0,146.529562982005,335000.0
1275,308400.0,159.296977660972,344950.0,161.951067209134,350000.0
1276,343400.0,167.613636363636,350000.0,173.095944609298,369000.0
1277,358700.0,172.934414416068,370000.0,179.265577993172,398750.0
1292,257700.0,116.979339522367,240000.0,123.64381270903,277000.0
1293,290800.0,134.505636385336,275000.0,140.93137254902,315000.0
1294,319000.0,148.089171974522,309777.0,157.862154354106,345000.0
1295,366300.0,166.279969064192,341625.0,176.946822989624,362500.0
1296,392400.0,178.826530612245,375000.0,176.473230509996,380000.0
1297,410500.0,183.550185873606,390000.0,181.74071082391,415000.0
1302,383100.0,164.226893491369,369000.0,176.817752596789,420000.0
1303,416500.0,187.823377234243,392450.0,212.581290645323,420450.0
1304,467600.0,213.510365180414,447450.0,214.382701041012,481050.0
1305,504800.0,227.194492254733,532450.0,230.224525043178,543500.0
1306,554100.0,229.740289893203,549950.0,260.045844777188,526245.0
1307,592000.0,240.377573703346,549000.0,231.70954205437,565000.0
1315,416600.0,156.388315137209,425000.0,172.082616179002,488000.0
1361,283100.0,187.860449902439,295000.0,199.175824175824,328000.0
1362,316700.0,214.103498542274,330000.0,212.903225806452,364000.0
1363,360900.0,229.029487546522,350000.0,241.943845413453,392500.0
1364,395100.0,261.743224588686,399900.0,264.917695473251,400000.0
1365,435100.0,257.157922209839,375000.0,280.324643384161,420000.0
1366,447500.0,275.137297666597,425000.0,298.205375824883,479900.0
1371,366400.0,125.409947188596,389900.0,129.255989911728,382500.0
1372,398800.0,138.830897703549,395000.0,143.036611629576,420000.0
1373,445400.0,146.502914659761,402000.0,152.020636992989,445000.0
1374,468900.0,155.813953488372,476996.0,159.103385178408,475000.0
1375,508700.0,162.48561096202,500000.0,164.401578255151,466000.0
1376,523200.0,163.231125998454,490000.0,172.492431598789,545000.0
1427,289700.0,136.03242095079,285000.0,140.078217134929,334500.0
1428,330200.0,154.73441108545,339450.0,155.207834791382,362500.0
1429,360800.0,167.190291419599,367000.0,177.806341045416,408000.0
1430,408100.0,182.823676971402,384986.5,192.775974025974,412000.0
